prior_x,prior_y,observe_x,observe_y,post_x,post_y,post_theta,post_v,post_w
4.55002,5.55188,4.54999,5.55236,4.55001,5.55207,-1.55964,0.00408589,0.00283896
4.55002,5.55167,4.54999,5.55209,4.55001,5.55184,-1.5594,0.00362433,0.00282436
4.55002,5.55148,4.54999,5.55186,4.55002,5.55163,-1.55916,0.00321516,0.00280954
4.55002,5.55131,4.54999,5.55165,4.55002,5.55145,-1.55892,0.00285241,0.00279461
4.55002,5.55116,4.54999,5.55146,4.55002,5.55129,-1.55869,0.00253076,0.00277968
4.55002,5.55103,4.55,5.5513,4.55002,5.55114,-1.55846,0.0022455,0.00276483
4.55002,5.55092,4.55,5.55115,4.55002,5.55101,-1.55823,0.00199248,0.00275013
4.55002,5.55081,4.55,5.55102,4.55002,5.5509,-1.558,0.00176802,0.00273564
4.55002,5.55072,4.55,5.55091,4.55002,5.5508,-1.55777,0.00156888,0.00272141
4.55002,5.55064,4.55,5.5508,4.55002,5.55071,-1.55755,0.00139217,0.00270747
4.55002,5.55057,4.55,5.55071,4.55002,5.55063,-1.55733,0.00123536,0.00269385
4.55002,5.5505,4.55,5.55063,4.55002,5.55056,-1.55711,0.00109621,0.00268057
4.55002,5.55045,4.55,5.55056,4.55002,5.55049,-1.55689,0.000972713,0.00266764
4.55002,5.5504,4.55,5.5505,4.55002,5.55044,-1.55667,0.000863118,0.00265509
4.55002,5.55035,4.55,5.55044,4.55002,5.55039,-1.55645,0.00076586,0.0026429
4.55002,5.55031,4.55,5.55039,4.55002,5.55035,-1.55623,0.000679551,0.0026311
4.55002,5.55028,4.55,5.55035,4.55002,5.55031,-1.55601,0.00060296,0.00261967
4.55002,5.55025,4.55,5.55031,4.55002,5.55027,-1.55579,0.000534996,0.00260862
4.55002,5.55022,4.55,5.55027,4.55002,5.55024,-1.55558,0.000474689,0.00259795
4.55002,5.55019,4.55,5.55024,4.55002,5.55021,-1.55536,0.000421177,0.00258763
4.55002,5.55017,4.55,5.55022,4.55002,5.55019,-1.55514,0.000373696,0.00257768
4.55002,5.55015,4.55,5.55019,4.55002,5.55017,-1.55493,0.000331566,0.00256808
4.55002,5.55014,4.55,5.55017,4.55002,5.55015,-1.55471,0.000294186,0.00255881
4.55002,5.55012,4.55,5.55015,4.55002,5.55013,-1.5545,0.000261019,0.00254988
4.55002,5.55011,4.55,5.55013,4.55002,5.55012,-1.55428,0.000231592,0.00254128
4.55002,5.55009,4.55,5.55012,4.55002,5.5501,-1.55407,0.000205482,0.00253298
4.55002,5.55008,4.55,5.55011,4.55002,5.55009,-1.55385,0.000182316,0.00252499
4.55002,5.55007,4.55,5.55009,4.55002,5.55008,-1.55364,0.000161761,0.00251729
4.55002,5.55007,4.55,5.55008,4.55002,5.55007,-1.55342,0.000143523,0.00250986
4.55002,5.55006,4.55,5.55007,4.55002,5.55006,-1.55321,0.000127341,0.00250271
4.55002,5.55005,4.55,5.55007,4.55002,5.55006,-1.55299,0.000112983,0.00249582
4.55002,5.55005,4.55,5.55006,4.55001,5.55005,-1.55278,0.000100244,0.00248918
4.55002,5.55004,4.55,5.55005,4.55001,5.55005,-1.55257,8.894e-05,0.00248278
4.55001,5.55004,4.55,5.55005,4.55001,5.55004,-1.55235,7.89104e-05,0.00247661
4.55001,5.55003,4.55,5.55004,4.55001,5.55004,-1.55214,7.00112e-05,0.00247066
4.55001,5.55003,4.55,5.55004,4.55001,5.55003,-1.55192,6.2115e-05,0.00246492
4.55001,5.55003,4.55,5.55003,4.55001,5.55003,-1.55171,5.51089e-05,0.00245938
4.55001,5.55002,4.55,5.55003,4.55001,5.55003,-1.55149,4.88924e-05,0.00245404
4.55001,5.55002,4.55,5.55003,4.55001,5.55002,-1.55128,4.33766e-05,0.00244889
4.55001,5.55002,4.55,5.55002,4.55001,5.55002,-1.55106,3.84825e-05,0.00244392
4.55001,5.55002,4.55,5.55002,4.55001,5.55002,-1.55085,3.414e-05,0.00243911
4.55001,5.55001,4.55,5.55002,4.55001,5.55002,-1.55063,3.02871e-05,0.00243447
4.55001,5.55001,4.55,5.55002,4.55001,5.55001,-1.55042,2.68685e-05,0.00242999
